plano,pieza,x_mm,y_mm,diametro_mm
CUD-01,"FAB · Cuerpo lateral externo C60°",52.30,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",156.91,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",261.52,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",366.13,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",470.73,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",575.34,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",679.95,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",784.56,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",889.16,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",993.77,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",1098.38,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",1202.99,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",1307.59,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",1412.20,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C60°",104.61,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",209.22,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",313.82,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",418.43,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",523.04,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",627.65,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",732.25,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",836.86,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",941.47,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1046.08,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1150.68,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1255.29,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1359.90,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C60°",104.61,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C60°",627.65,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C60°",836.86,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1359.90,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C60°",21.20,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",711.05,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",753.45,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1443.31,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",21.20,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",711.05,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",753.45,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",1443.31,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C60°",110.13,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",162.13,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",570.22,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",622.22,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",842.28,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",894.28,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",1302.38,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",1354.38,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",110.13,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",162.13,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",570.22,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",622.22,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",842.28,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",894.28,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",1302.38,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C60°",1354.38,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",32.26,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",96.77,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",161.29,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",225.80,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",290.32,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",354.83,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",419.35,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",483.86,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",548.38,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",612.89,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",677.41,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",741.92,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",806.44,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",870.95,172.20,12.70
CUD-02,"FAB · Cuerpo lateral interno C60°",64.51,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",129.03,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",193.54,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",258.06,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",322.57,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",387.09,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",451.60,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",516.12,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",580.63,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",645.15,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",709.66,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",774.18,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",838.69,132.00,7.00
CUD-02,"FAB · Cuerpo lateral interno C60°",64.51,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C60°",387.09,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C60°",516.12,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C60°",838.69,112.00,9.00
CUD-02,"FAB · Cuerpo lateral interno C60°",21.20,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",430.40,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",472.80,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",882.01,102.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",21.20,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",430.40,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",472.80,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",882.01,27.50,11.00
CUD-02,"FAB · Cuerpo lateral interno C60°",57.95,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",109.95,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",341.71,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",393.71,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",509.50,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",561.50,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",793.25,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",845.25,74.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",57.95,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",109.95,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",341.71,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",393.71,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",509.50,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",561.50,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",793.25,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",845.25,22.60,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",225.80,64.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",376.37,64.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",526.84,64.90,10.50
CUD-02,"FAB · Cuerpo lateral interno C60°",677.41,64.90,10.50
CUD-05,"FAB · Refuerzo externo superior C60°",79.50,132.06,11.00
CUD-05,"FAB · Refuerzo externo superior C60°",199.52,580.03,11.00
CUD-05,"FAB · Refuerzo externo superior C60°",199.52,855.07,11.00
